time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-10T12:17:48.468Z,23.4801,121.6296,10.0,4.7,mwr,83.0,73.0,0.318,0.63,us,us6000ishl,2022-10-10T19:49:09.570Z,Taiwan,earthquake,3.92,1.824,0.062,25.0,reviewed,us,us
2022-10-10T11:53:58.025Z,-15.6813,167.7545,133.157,4.5,mb,35.0,153.0,0.58,0.44,us,us6000ishj,2022-10-10T12:21:46.040Z,"57 km NE of Norsup, Vanuatu",earthquake,8.4,4.508,0.105,27.0,reviewed,us,us
2022-10-10T11:19:02.032Z,-29.7873,-71.6558,31.563,4.8,mwr,49.0,144.0,0.385,0.47,us,us6000isgg,2022-10-10T14:49:51.948Z,"35 km WNW of Coquimbo, Chile",earthquake,4.63,4.269,0.038,65.0,reviewed,us,us
2022-10-10T11:10:38.001Z,-17.5329,-69.5503,168.629,4.3,mb,25.0,99.0,0.088,0.34,us,us6000isgc,2022-10-10T11:48:05.040Z,"49 km E of Estique, Peru",earthquake,7.47,3.272,0.161,11.0,reviewed,us,us
2022-10-10T11:06:13.610Z,-7.1453,129.4672,118.609,4.4,mb,21.0,81.0,1.997,0.44,us,us6000isga,2022-10-10T13:15:36.040Z,"Kepulauan Babar, Indonesia",earthquake,8.83,11.374,0.162,11.0,reviewed,us,us
2022-10-10T10:18:38.751Z,1.8177,97.8909,60.471,4.9,mb,40.0,85.0,0.6,0.56,us,us6000isg3,2022-10-10T13:04:37.040Z,"53 km SSE of Singkil, Indonesia",earthquake,6.26,7.695,0.088,40.0,reviewed,us,us
2022-10-10T07:49:45.878Z,22.1625,-93.8459,10.0,4.5,mb,53.0,76.0,6.068,0.83,us,us6000isf9,2022-10-10T08:28:31.040Z,Gulf of Mexico,earthquake,8.61,1.946,0.042,169.0,reviewed,us,us
2022-10-10T06:45:08.292Z,53.9762,-35.1075,10.0,4.5,mb,51.0,91.0,18.41,0.34,us,us6000isf8,2022-10-10T13:09:22.040Z,Reykjanes Ridge,earthquake,13.15,1.912,0.077,50.0,reviewed,us,us
2022-10-10T05:57:13.296Z,54.9175,-130.6945,14.8,4.1,ml,0.0,0.0,0.0,0.89,ak,ak022d04emm9,2022-10-12T17:32:00.605Z,"61 km ESE of Metlakatla, Alaska",earthquake,0.0,0.4,0.0,0.0,reviewed,ak,ak
2022-10-10T04:09:11.515Z,17.8336,-103.1015,10.0,4.1,mb,52.0,203.0,2.531,1.06,us,us6000ised,2022-10-10T04:44:19.040Z,"79 km WSW of El Habillal, Mexico",earthquake,11.47,1.996,0.057,85.0,reviewed,us,us
2022-10-10T03:20:07.270Z,36.3455,70.7059,134.076,4.0,mb,19.0,112.0,0.786,0.5,us,us6000ise2,2022-10-10T04:08:55.040Z,"58 km S of Jurm, Afghanistan",earthquake,7.73,7.959,0.3,3.0,reviewed,us,us
2022-10-10T01:50:51.085Z,54.5681,-159.7003,31.098,4.6,mwr,128.0,165.0,0.271,0.87,us,us6000isdt,2022-10-10T16:44:46.853Z,south of Alaska,earthquake,6.58,5.388,0.061,26.0,reviewed,us,us
2022-10-10T00:54:03.336Z,52.1923,-170.4618,47.215,4.8,mwr,107.0,134.0,1.972,0.94,us,us6000isdn,2022-10-10T16:35:36.571Z,"136 km SW of Nikolski, Alaska",earthquake,7.94,6.473,0.075,17.0,reviewed,us,us
2022-10-10T00:26:18.660Z,38.8956,142.1005,52.033,4.6,mwr,74.0,123.0,2.053,0.46,us,us6000isdk,2022-10-10T15:07:41.094Z,"38 km ESE of Ōfunato, Japan",earthquake,8.0,5.896,0.063,24.0,reviewed,us,us
2022-10-10T00:02:59.576Z,42.1033,144.157,35.0,4.9,mb,120.0,74.0,0.75,0.64,us,us6000isdf,2022-10-10T15:06:07.248Z,"98 km S of Kushiro, Japan",earthquake,4.06,1.891,0.047,144.0,reviewed,us,us
2022-10-09T22:58:50.039Z,-16.4344,178.0791,10.0,5.5,mww,52.0,120.0,1.303,0.63,us,us6000isdb,2022-10-11T08:41:22.176Z,"129 km NNE of Ba, Fiji",earthquake,6.18,1.837,0.093,11.0,reviewed,us,us
2022-10-09T22:48:58.695Z,-23.9911,-66.6885,219.332,4.3,mb,21.0,97.0,1.715,0.46,us,us6000isd6,2022-10-10T04:22:18.040Z,"45 km NW of San Antonio de los Cobres, Argentina",earthquake,7.09,12.322,0.218,6.0,reviewed,us,us
2022-10-09T22:18:06.968Z,10.6238,-62.2692,97.063,4.7,mb,42.0,97.0,1.616,0.41,us,us6000iscy,2022-10-12T03:03:52.493Z,"6 km NNE of Güiria, Venezuela",earthquake,6.42,10.385,0.055,102.0,reviewed,us,us
2022-10-09T21:10:38.800Z,-3.8613,142.9037,10.0,5.4,mb,114.0,37.0,6.942,0.75,us,us6000isch,2022-10-10T21:14:04.550Z,"40 km NNE of Ambunti, Papua New Guinea",earthquake,4.25,1.796,0.054,118.0,reviewed,us,us
2022-10-09T19:37:31.411Z,45.6696,151.4182,43.913,4.5,mb,46.0,186.0,6.135,0.86,us,us6000isbz,2022-10-12T15:50:51.040Z,"281 km E of Kuril’sk, Russia",earthquake,10.57,8.156,0.094,35.0,reviewed,us,us
2022-10-09T16:38:04.963Z,-1.3796,-23.9039,10.0,6.2,mww,56.0,82.0,11.523,0.78,us,us6000isau,2022-10-10T16:41:06.361Z,central Mid-Atlantic Ridge,earthquake,10.9,1.86,0.052,35.0,reviewed,us,us
2022-10-09T16:19:08.663Z,-26.2583,-69.0772,114.215,4.2,mb,26.0,95.0,1.185,0.65,us,us6000isaj,2022-10-09T16:39:24.040Z,"97 km E of Diego de Almagro, Chile",earthquake,5.91,7.279,0.141,14.0,reviewed,us,us
2022-10-09T14:43:51.394Z,-19.0798,-177.3326,583.029,4.5,mb,28.0,86.0,2.885,0.36,us,us6000isa3,2022-10-09T15:24:18.040Z,Fiji region,earthquake,10.29,8.064,0.119,23.0,reviewed,us,us
2022-10-09T13:49:16.858Z,26.3151,128.13,27.94,4.7,mb,42.0,109.0,0.534,0.46,us,us6000is9x,2022-10-09T16:06:52.734Z,"25 km E of Katsuren-haebaru, Japan",earthquake,7.49,6.172,0.102,32.0,reviewed,us,us
2022-10-09T10:33:16.457Z,-3.2365,130.4523,17.999,4.5,mb,36.0,53.0,1.822,0.63,us,us6000is99,2022-10-09T10:52:33.040Z,"170 km E of Amahai, Indonesia",earthquake,7.05,4.724,0.118,21.0,reviewed,us,us
2022-10-09T10:02:43.925Z,-7.0502,106.0583,48.06,4.9,mb,62.0,42.0,1.631,0.71,us,us6000is90,2022-10-12T08:05:06.294Z,"54 km W of Pelabuhanratu, Indonesia",earthquake,4.0,5.916,0.083,46.0,reviewed,us,us
2022-10-09T09:55:50.795Z,3.7964,127.0381,41.414,4.8,mb,53.0,107.0,3.022,0.48,us,us6000is8z,2022-10-09T10:11:33.040Z,"249 km SE of Sarangani, Philippines",earthquake,8.2,7.365,0.094,35.0,reviewed,us,us
2022-10-09T09:35:27.145Z,-19.7108,-177.7497,429.39,4.5,mb,47.0,115.0,4.432,0.5,us,us6000is8y,2022-10-09T09:59:52.040Z,Fiji region,earthquake,12.7,7.145,0.061,78.0,reviewed,us,us
2022-10-09T08:44:03.176Z,13.9826,120.7164,227.935,4.4,mb,44.0,134.0,8.795,0.51,us,us6000is8t,2022-10-09T09:19:09.040Z,"1 km SW of Putol, Philippines",earthquake,9.59,9.377,0.098,31.0,reviewed,us,us
2022-10-09T04:37:58.622Z,37.3159,142.0188,45.154,4.6,mb,19.0,108.0,3.149,0.32,us,us6000is7y,2022-10-09T05:22:05.040Z,"92 km ESE of Namie, Japan",earthquake,7.69,7.886,0.245,8.0,reviewed,us,us
2022-10-09T03:44:37.568Z,57.7294,-155.9075,4.8,4.5,ml,0.0,0.0,0.0,0.54,ak,ak022cyflofc,2022-10-09T04:09:33.069Z,"88 km W of Karluk, Alaska",earthquake,0.0,0.2,0.0,0.0,reviewed,ak,ak
2022-10-09T03:43:40.791Z,-8.1138,109.0174,81.391,4.5,mb,24.0,64.0,1.502,1.38,us,us6000is7k,2022-10-09T13:37:48.252Z,"58 km SSW of Kroya, Indonesia",earthquake,5.59,8.327,0.15,13.0,reviewed,us,us
2022-10-09T03:38:06.991Z,58.192,-138.0056,14.1,4.3,ml,0.0,0.0,0.0,0.69,ak,ak022cyfkbwn,2022-10-10T06:25:49.588Z,"97 km W of Elfin Cove, Alaska",earthquake,0.0,1.1,0.0,0.0,reviewed,ak,ak
2022-10-09T03:07:59.006Z,-22.0666,-68.4662,121.285,4.2,mb,22.0,56.0,0.769,0.85,us,us6000is76,2022-10-09T03:37:58.040Z,"63 km NE of Calama, Chile",earthquake,7.05,5.09,0.146,13.0,reviewed,us,us
2022-10-09T00:44:07.985Z,52.4615,-170.6084,60.819,4.2,mb,50.0,170.0,1.889,0.63,us,us6000is69,2022-10-09T21:26:22.567Z,"129 km WSW of Nikolski, Alaska",earthquake,5.26,8.634,0.055,93.0,reviewed,us,us
2022-10-08T22:02:29.011Z,38.342,22.5368,19.131,5.2,mww,119.0,20.0,0.696,1.08,us,us6000is5j,2022-10-11T19:12:48.148Z,"9 km WSW of Antikyra, Greece",earthquake,4.74,3.255,0.045,47.0,reviewed,us,us
2022-10-08T21:46:05.026Z,-4.0685,68.379,10.0,4.7,mb,57.0,103.0,5.24,0.52,us,us6000is5e,2022-10-08T22:01:36.040Z,Chagos Archipelago region,earthquake,10.79,1.923,0.075,54.0,reviewed,us,us
2022-10-08T21:12:30.870Z,-1.0814,128.8946,10.0,4.9,mb,63.0,90.0,2.392,0.72,us,us6000is50,2022-10-08T21:34:08.040Z,"249 km N of Amahai, Indonesia",earthquake,6.73,1.863,0.083,45.0,reviewed,us,us
2022-10-08T20:45:45.009Z,-17.5619,-178.9004,536.487,4.5,mb,47.0,43.0,2.911,0.9,us,us6000is4x,2022-10-08T21:46:23.040Z,"197 km ENE of Levuka, Fiji",earthquake,12.61,7.678,0.093,34.0,reviewed,us,us
2022-10-08T14:42:18.391Z,-54.1989,-132.9614,10.0,5.7,mww,122.0,43.0,31.513,0.79,us,us6000is3u,2022-10-12T14:53:37.393Z,Pacific-Antarctic Ridge,earthquake,12.35,1.847,0.089,12.0,reviewed,us,us
2022-10-08T10:20:44.023Z,-45.089,167.4123,82.208,4.3,mb,34.0,66.0,0.418,0.71,us,us6000is34,2022-10-08T10:40:08.040Z,"43 km NNW of Te Anau, New Zealand",earthquake,7.06,5.508,0.154,13.0,reviewed,us,us
2022-10-08T09:39:20.581Z,-29.9329,-177.5172,30.48,4.9,mb,29.0,133.0,0.755,0.57,us,us6000is2x,2022-10-08T10:24:51.040Z,"Kermadec Islands, New Zealand",earthquake,13.85,7.016,0.084,44.0,reviewed,us,us
2022-10-08T09:37:14.130Z,19.0178,-68.2176,58.0,4.06,md,30.0,174.0,0.5298,0.6,pr,pr2022281001,2022-10-09T11:33:46.045Z,"52 km NNE of Punta Cana, Dominican Republic",earthquake,2.81,5.71,0.09,22.0,reviewed,pr,pr
2022-10-08T06:12:23.598Z,51.9267,172.3656,10.0,4.7,mb,85.0,120.0,1.334,1.07,us,us6000is1m,2022-10-08T07:23:46.040Z,"Near Islands, Aleutian Islands, Alaska",earthquake,8.38,1.879,0.068,66.0,reviewed,us,us
2022-10-08T06:12:15.105Z,52.8852,172.6937,125.7,4.0,ml,0.0,0.0,0.0,0.77,ak,ak022cwtnx2t,2022-10-08T21:34:33.365Z,"33 km W of Attu Station, Alaska",earthquake,0.0,1.1,0.0,0.0,reviewed,ak,ak
2022-10-08T06:12:11.540Z,51.8904,172.1813,10.0,4.7,mb,92.0,121.0,1.447,0.62,us,us6000is1g,2022-10-08T06:43:13.040Z,"Near Islands, Aleutian Islands, Alaska",earthquake,5.81,1.833,0.039,202.0,reviewed,us,us
2022-10-08T05:15:55.076Z,-10.1898,-78.7831,44.336,4.4,mb,27.0,166.0,2.612,0.6,us,us6000is17,2022-10-08T05:43:53.040Z,near the coast of central Peru,earthquake,10.38,11.132,0.117,21.0,reviewed,us,us
2022-10-08T04:30:44.253Z,-27.8189,-66.6175,161.115,4.3,mb,31.0,66.0,3.215,0.52,us,us6000is0s,2022-10-08T04:50:12.040Z,"39 km SW of Andalgalá, Argentina",earthquake,9.17,8.31,0.154,12.0,reviewed,us,us
2022-10-08T00:27:18.868Z,-21.7787,-67.641,240.486,4.4,mb,28.0,176.0,1.269,0.85,us,us6000irzy,2022-10-09T02:50:22.040Z,"138 km NNE of San Pedro de Atacama, Chile",earthquake,11.38,12.539,0.219,6.0,reviewed,us,us
2022-10-07T22:51:01.822Z,-5.1499,130.3418,10.0,4.8,mb,51.0,64.0,2.92,0.58,us,us6000irzj,2022-10-07T23:39:47.040Z,"254 km SE of Amahai, Indonesia",earthquake,5.1,1.835,0.096,33.0,reviewed,us,us
2022-10-07T18:26:42.686Z,-9.3189,118.974,103.528,4.2,mb,32.0,92.0,1.28,0.66,us,us6000irx3,2022-10-07T19:49:45.040Z,"98 km SW of Komodo, Indonesia",earthquake,7.41,8.235,0.121,22.0,reviewed,us,us
2022-10-07T16:14:06.277Z,53.8399,-35.6845,10.0,4.6,mb,41.0,90.0,9.007,0.57,us,us6000irwc,2022-10-07T18:45:45.040Z,Reykjanes Ridge,earthquake,4.67,1.89,0.047,134.0,reviewed,us,us
2022-10-07T14:55:16.711Z,-0.5843,-81.0275,10.0,4.3,mb,41.0,152.0,2.339,0.42,us,us6000irvl,2022-10-08T08:01:48.040Z,"54 km NW of Manta, Ecuador",earthquake,10.8,1.951,0.101,28.0,reviewed,us,us
2022-10-07T14:06:54.775Z,23.4387,121.3844,10.563,4.3,mb,44.0,99.0,0.092,0.69,us,us6000irvg,2022-10-08T07:39:45.040Z,"63 km SSW of Hualien City, Taiwan",earthquake,3.93,4.181,0.111,23.0,reviewed,us,us
2022-10-07T13:06:25.437Z,3.5531,126.005,83.528,4.7,mb,47.0,107.0,3.08,0.53,us,us6000iruf,2022-10-08T07:24:10.040Z,"213 km SSE of Sarangani, Philippines",earthquake,9.35,7.506,0.074,55.0,reviewed,us,us
2022-10-07T12:52:36.010Z,44.540333333333336,-122.55083333333332,13.17,4.39,ml,41.0,47.0,0.1347,0.27,uw,uw61886506,2022-10-12T22:34:10.253Z,"16 km ESE of Lacomb, Oregon",earthquake,0.38,1.63,0.1708380620290563,32.0,reviewed,uw,uw
2022-10-07T11:57:38.628Z,63.148,-171.7189,10.625,4.0,mb,43.0,179.0,0.63,0.61,us,us6000irsy,2022-10-07T12:15:09.040Z,"70 km S of Gambell, Alaska",earthquake,7.47,5.303,0.173,9.0,reviewed,us,us
